AccountID,Net Change over Forecast Period,Starting Amount,Ending Amount
16268,[0.],[-8999140.98753615],[-8999140.98753615]
16274,[0.],[-1950114.66356178],[-1950114.66356178]
16266,[0.],[-2729785.53511953],[-2729785.53511953]
16267,[0.],[-8811050.35477692],[-8811050.35477692]
16448,[0.],[-71011.32717406],[-71011.32717406]
16275,[0.],[-5509090.05251805],[-5509090.05251805]
16269,[0.],[-379832.90196693],[-379832.90196693]
16278,[0.],[-1150100.61621909],[-1150100.61621909]
16277,[0.],[-1373973.8588603],[-1373973.8588603]
16276,[0.],[-672340.33757926],[-672340.33757926]
16462,[0.],[-1180704.08815939],[-1180704.08815939]
16443,[0.],[-46819.02295948],[-46819.02295948]
16279,[0.],[-2861901.84300115],[-2861901.84300115]
16453,[0.],[-121561.78471189],[-121561.78471189]
16446,[0.],[-29632.79617682],[-29632.79617682]
16455,[0.],[-59524.50699727],[-59524.50699727]
16461,[0.],[-186450.10968478],[-186450.10968478]
16440,[0.],[-38567.93191169],[-38567.93191169]
16433,[0.],[-30433.04438171],[-30433.04438171]
16452,[0.],[-24245.56080034],[-24245.56080034]
16427,[0.],[-7251.62478645],[-7251.62478645]
16454,[0.],[-137005.32525375],[-137005.32525375]
16420,[0.],[-1671.01514244],[-1671.01514244]
16418,[0.],[-79103.70517171],[-79103.70517171]
16419,[0.],[-3309.80305509],[-3309.80305509]
16450,[0.],[-27551.75892444],[-27551.75892444]
16444,[0.],[-34507.91753454],[-34507.91753454]
16426,[0.],[-5195.13735776],[-5195.13735776]
16457,[0.],[-17045.54368513],[-17045.54368513]
16436,[0.],[-4827.25102112],[-4827.25102112]
16441,[0.],[-4892.24980778],[-4892.24980778]
16439,[0.],[-6560.73956996],[-6560.73956996]
16451,[0.],[-13692.95253393],[-13692.95253393]
16273,[0.],[-459463.19734756],[-459463.19734756]
16456,[0.],[72422.24269778],[72422.24269778]
16458,[0.],[-28226.30173102],[-28226.30173102]
16437,[0.],[-20201.43329133],[-20201.43329133]
16435,[0.],[-67307.59143436],[-67307.59143436]
16438,[0.],[-17019.9424447],[-17019.9424447]
16434,[0.],[-65984.38010297],[-65984.38010297]
16423,[0.],[-4971.36442959],[-4971.36442959]
16460,[0.],[-15338.57425304],[-15338.57425304]
