AccountID,Net Change over Forecast Period,Starting Amount,Ending Amount
16268,[0.],[-5434220.20165057],[-5434220.20165057]
16274,[0.],[-4299599.14106588],[-4299599.14106588]
16266,[0.],[-1278961.6745172],[-1278961.6745172]
16267,[0.],[-14036364.20846868],[-14036364.20846868]
16448,[0.],[-91446.50703455],[-91446.50703455]
16275,[0.],[-4521074.54734064],[-4521074.54734064]
16269,[0.],[-442110.47949689],[-442110.47949689]
16278,[0.],[-2644828.89094149],[-2644828.89094149]
16277,[0.],[-1767755.32679798],[-1767755.32679798]
16276,[0.],[-673224.68202642],[-673224.68202642]
16462,[0.],[-1915578.96338385],[-1915578.96338385]
16443,[0.],[-90787.6111904],[-90787.6111904]
16279,[0.],[-1337319.4349105],[-1337319.4349105]
16453,[0.],[-99106.54833556],[-99106.54833556]
16455,[0.],[-46125.25081595],[-46125.25081595]
16461,[0.],[-183450.01583828],[-183450.01583828]
16440,[0.],[-51515.47502427],[-51515.47502427]
16452,[0.],[-25496.59864918],[-25496.59864918]
16427,[0.],[-5622.14802808],[-5622.14802808]
16450,[0.],[-22711.22511452],[-22711.22511452]
16444,[0.],[-31612.21962342],[-31612.21962342]
16426,[0.],[-13659.92226788],[-13659.92226788]
16457,[0.],[-22832.63495886],[-22832.63495886]
16441,[0.],[-10959.31684582],[-10959.31684582]
16439,[0.],[-12079.15437946],[-12079.15437946]
16451,[0.],[-23932.54085579],[-23932.54085579]
16273,[0.],[-588888.44330318],[-588888.44330318]
16456,[0.],[-31872.60599467],[-31872.60599467]
16458,[0.],[-20073.6344592],[-20073.6344592]
16437,[0.],[-14731.96652527],[-14731.96652527]
16435,[0.],[-57294.55521137],[-57294.55521137]
16438,[0.],[-8820.13695989],[-8820.13695989]
16434,[0.],[-38258.33334532],[-38258.33334532]
16460,[0.],[-16808.69928797],[-16808.69928797]
16459,[0.],[-30307.17605457],[-30307.17605457]
16280,[0.],[-184082.68522836],[-184082.68522836]
16432,[0.],[-1123.98606092],[-1123.98606092]
16429,[0.],[-15589.94741681],[-15589.94741681]
16447,[0.],[-45328.79301603],[-45328.79301603]
16449,[0.],[-30668.78124932],[-30668.78124932]
16424,[0.],[-27206.94776092],[-27206.94776092]
16442,[0.],[-19065.84757259],[-19065.84757259]
36b3453d-05e8-4047-b272-e7a52f7281a7,[0.],[-26594.36671685],[-26594.36671685]
54c4b5d0-f61e-4444-8c1e-3f4784df6aad,[0.],[-2621.21202728],[-2621.21202728]
5b5ce87d-4f3e-4a80-b809-dee53d47e4fb,[0.],[-36849.2698768],[-36849.2698768]
863e46c4-6cdc-44dc-a950-f6d42d70ee85,[0.],[-31787.30337101],[-31787.30337101]
46624f41-5372-40ba-81cc-a94340ee3e46,[0.],[-14632.45225132],[-14632.45225132]
6af3eaf3-c610-4a76-baf2-bd0fd1574e28,[0.],[-17511.40815738],[-17511.40815738]
08c81f95-46ee-4c88-a62c-b8d589337d58,[0.],[-26934.05491251],[-26934.05491251]
32c46750-24ce-4997-b281-69485272210b,[0.],[-36727.36383402],[-36727.36383402]
29f5c5a3-dbad-449f-b015-8a6f9b275091,[0.],[-140212.7746387],[-140212.7746387]
929b0c27-4a85-4b3e-af1e-989d398834e3,[0.],[-71918.65092479],[-71918.65092479]
41a68452-aae6-4014-a689-1ac1a0cea417,[0.],[-40601.81349904],[-40601.81349904]
19f0b674-b9ae-431f-a87a-538fa51f8c8e,[0.],[-18172.32168408],[-18172.32168408]
7459cd82-c1f0-4580-858d-6f507f51da5a,[0.],[-3415.63577818],[-3415.63577818]
389d5112-f19a-421b-aaad-3315c06ea2f9,[0.],[-47209.59509867],[-47209.59509867]
743b329e-361b-4dbb-82a5-2a8573f6ce45,[0.],[-15855.70200023],[-15855.70200023]
22d44841-18bd-4482-a333-6ed410071c64,[0.],[-57495.9954472],[-57495.9954472]
ad29c819-cfa7-4907-b3ce-772cb186fc38,[0.],[-9366781.33272124],[-9366781.33272124]
11c745a8-a774-4655-a6ee-b0f3d9a3c850,[0.],[-21272.84742302],[-21272.84742302]
646d78c4-d428-4162-86c0-cc7c6de8f08c,[0.],[-9077.53103492],[-9077.53103492]
16c1c689-a0f3-4629-8338-e615c30914bf,[0.],[-3990.61902056],[-3990.61902056]
0e20234f-d6bb-4e81-bec0-f28f79195667,[0.],[-9456340.88548968],[-9456340.88548968]
6f84d3b0-3bd9-4528-912f-641dd92e6474,[0.],[-874337.83341327],[-874337.83341327]
84a7c0a0-c8d7-4dc3-b276-fd2f067f8314,[0.],[-18460.08211754],[-18460.08211754]
82e19ff9-172d-476c-8a8d-b873733bd3c9,[0.],[-17955.2089591],[-17955.2089591]
c4f2c85f-d6b4-400c-a4dd-468358bcb208,[0.],[307.05173204],[307.05173204]
ebfeef26-f458-47a9-bad0-331d53dc1bf5,[0.],[-70173.04364627],[-70173.04364627]
c5d46478-c043-4ee1-b9ae-c2ed7a7db7f4,[0.],[-40990.36587245],[-40990.36587245]
6b014a04-ec5a-4e01-bc5a-5a7e4a36e835,[0.],[-382.05660562],[-382.05660562]
703b6494-3f65-40e0-a144-95f9120517e0,[0.],[747.60110829],[747.60110829]
76a56669-5360-4ce0-b8d9-68a372077bdb,[0.],[-1325118.63408185],[-1325118.63408185]
ea802ec1-df27-4862-b874-445a454bd7ae,[0.],[-57323.95566931],[-57323.95566931]
51e788f5-6015-429d-8897-f1faef147bd1,[0.],[-8667.47347619],[-8667.47347619]
16c0e231-2dd6-42f6-908a-a668c98c9c21,[0.],[-41360.50577369],[-41360.50577369]
8cf60b19-d17b-4996-a901-11e1f1ac18ff,[0.],[-15819.10425576],[-15819.10425576]
6ca62807-a73a-4b40-a47e-3ef9674f89b0,[0.],[-25157.7650959],[-25157.7650959]
563a3432-4d61-493e-89e5-fb7f1d2e5e9b,[0.],[-87330.70083213],[-87330.70083213]
cb484940-596f-4183-8eee-25b1999c3aba,[0.],[-29773.61100971],[-29773.61100971]
0003a5ae-0c77-4372-b44d-882ef9874a28,[0.],[-24679.23099155],[-24679.23099155]
177534b8-6182-4c33-a2a7-90c1e83e4102,[0.],[-24965.18839065],[-24965.18839065]
e7723aa5-1224-45d6-aa68-4de3a81c0604,[0.],[-37435.22286735],[-37435.22286735]
9ebf84b2-1516-4144-8afe-4240953a6938,[0.],[-23247.27806273],[-23247.27806273]
e4beced8-0e9e-4254-92b5-4b503b800581,[0.],[-49040.24790585],[-49040.24790585]
b4967187-24c0-421c-a064-23fded4d9df5,[0.],[-10955.11201885],[-10955.11201885]
8fd23f0b-ef3c-483a-ad2b-5aace0ce3ac9,[0.],[-31469.38424225],[-31469.38424225]
f086eef4-8cbd-4cf4-9419-ced531095b91,[0.],[-30182.36343139],[-30182.36343139]
6826baec-aba4-47af-a5cc-0a04d9104a1d,[0.],[-302179.30333],[-302179.30333]
3f69d1bf-2f5b-4a23-ae0a-37584c0efcb5,[0.],[-12981.96848793],[-12981.96848793]
e520d0a6-a1d7-468a-9d5b-3e554dafe615,[0.],[-66718.09548719],[-66718.09548719]
b6d01fbd-660d-4549-8e5a-5f31efdb89cb,[0.],[-4604286.927772],[-4604286.927772]
799b83e5-247c-421c-84f7-74a11cf35fc7,[0.],[-1599253.58676439],[-1599253.58676439]
4190cd47-6c10-434a-99b3-51ed9499ff1c,[0.],[-73593.01985515],[-73593.01985515]
721240cf-0513-4f8c-a299-10e0c6d96238,[0.],[-800125.41905838],[-800125.41905838]
6029f5e7-e776-418b-aebf-92ab88866879,[0.],[-21497.32207763],[-21497.32207763]
befdf3e4-5b2c-49d3-8f53-550e2f234d9c,[0.],[-141600.9453044],[-141600.9453044]
e9272f7c-52de-43b7-89cc-7a88e27ad0e5,[0.],[-75605.61292761],[-75605.61292761]
154aa72f-d25a-4d11-acfc-bd2d79b780e8,[0.],[-279371.70693938],[-279371.70693938]
