AccountID,Net Change over Forecast Period,Starting Amount,Ending Amount
7a6a6cde-6586-4f4d-97e6-ff371d7bd426,15482.449513328942,11350.680802733124,26833.130316062066
b58a892c-da69-4241-8d26-9ae4cc1c4816,-8264.813617361677,-11280.242820598509,-19545.056437960186
64619d89-79d1-4320-ab20-ff5102ac56f1,-37346.41712006094,-35758.99848633741,-73105.41560639835
d3f048e7-3d2b-445f-a9c9-1b82e873f13d,-1264672.77768151,-1238318.3940493087,-2502991.1717308187
58e29f83-897c-462e-ae79-b9a67895dbce,5934.807809581173,6686.797423364457,12621.60523294563
7ebc1c8a-e5bb-41af-b8c3-5d64b8331218,-55205.997029665974,-47589.22721347658,-102795.22424314255
34f9de21-4240-4196-b2f7-08193f97ec52,-26309.265568908493,-16330.815490719551,-42640.08105962804
16412,17482.875345291075,13323.554741194383,30806.43008648546
9ea90cd0-522a-4910-ae87-53cbf60dd401,-19056.25586365836,-22693.143156058595,-41749.399019716955
54521dd1-abfc-4e6b-9ede-c90863035cef,-44860.16342594017,-45318.972054640915,-90179.13548058108
b5c14783-bcaa-44bd-82b7-b240c7f65f9e,-2870765.1478892444,-2625163.279800225,-5495928.427689469
16421,-7708.523792211653,-5908.830690122922,-13617.354482334575
13d7958c-fcc6-488b-8d04-6e884281d702,-12900.885810804702,-11600.28663854727,-24501.172449351972
d2b99e29-5566-4d6f-896f-2f0739ea4e91,-49387.37543014447,-38451.36174551603,-87838.7371756605
03fdd890-2ce8-4873-8d02-0d753838576e,-38897.63526223562,-31169.34716703798,-70066.9824292736
39707c72-9fc1-46f7-9f9e-a27ae57bab63,-7842.957057826978,6743.919051448293,-1099.0380063786845
4b62a71b-9b6e-4f83-afba-fca514ee1972,-23899.308122292467,-24322.391876211223,-48221.69999850369
981a3f2e-e63e-4abc-b03f-72273c02f6f1,-13370.86027933538,-13462.027689651624,-26832.887968987005
2971bf3e-670d-4e90-b127-921b7dae0f24,-107629.64906114576,-105534.15463512595,-213163.8036962717
e75a0627-c4c4-4070-a2a0-b1a11ed566dd,-329381.8415996943,-307838.1692827801,-637220.0108824744
54487763-c23c-47da-a892-f1ea56779314,-38858.43562030985,-38123.152394796685,-76981.58801510654
cb484940-596f-4183-8eee-25b1999c3aba,-58487.8615162464,-59469.45675033935,-117957.31826658575
16462,-2214547.751983052,-1903707.4372971677,-4118255.18928022
fa8fa2ac-d69e-4f59-87fa-2f587573c8f7,-2045508.7764805842,-1930305.7410440345,-3975814.5175246187
703f718c-79ac-42e9-a793-37e1795e7ef8,-15542.999516245127,-15320.948647532205,-30863.94816377733
ef9951b1-7a6c-450b-bbcd-eef377be520d,-84846.09656679744,-71275.43980020203,-156121.53636699947
16424,-51098.972650441814,-36366.50583086472,-87465.47848130653
17f16911-4247-4728-a435-f4bf2f48e27b,-64031.32811457211,-58143.01351614832,-122174.34163072043
4a945bc0-7616-47cb-95dd-b51369dcb96a,-1892408.9953552939,-1720150.37942263,-3612559.374777924
b0d5a082-5bdf-4181-936e-27695cd0389e,-33487.883448734654,-26567.290385896915,-60055.17383463157
b4cbd3dd-bf2f-4694-ba48-ffd963187a5c,625.2137825887116,-1199.9371382061486,-574.7233556174369
5b74e76a-5211-4eeb-a58b-b952ef4dad05,-7579.789112560946,-6502.101651013827,-14081.890763574773
2fb278a9-c2eb-4a9a-9e0c-ade7feb23ef1,-33602.23014706996,-34332.57947571916,-67934.80962278912
