AccountID,Highest Amount,Lowest Amount,Difference
16460,4506.133945,130.5845781,4375.549367
c4325b8f-693c-4605-b685-360e36c31697,75.72149721,-10.80962734,86.53112455
17f16911-4247-4728-a435-f4bf2f48e27b,-8833.640044,-15209.58197,6375.941927
c9f19b41-8752-401e-b054-12f9d14cdeb7,33922.47174,-12003.9895,45926.46124
e3b8d5ec-34c5-4393-b847-bd767ee9f81e,-71090.16389,-72668.53073,1578.366839
59059cb4-0709-49ae-875e-36288851bd89,6971.6963,-406.2117657,7377.908066
6c56d04a-1117-42e6-95e2-72822200e38d,-67446.6184,-68766.073,1319.454601
8339fc7d-61c3-43bb-8ad5-8660b0bcb712,-867421.0773,-1089571.163,222150.0853
dfb63784-48ca-4052-84e5-b40c2f8e864e,-3798.308025,-7703.443764,3905.135739
a65906d8-751f-4245-b7d2-33cc1637a407,4727.921935,-646.4796845,5374.401619
19a47e6f-9d45-4880-85df-a0f0f097fbce,-7899.683541,-20331.3914,12431.70786
81d899e7-8481-4131-80d8-93916053860a,-1154.38199,-2932.848008,1778.466018
6cbfd1a9-41a4-4298-a4f9-0ec22c8c7f69,-4970.833423,-10532.02736,5561.193937
703b6494-3f65-40e0-a144-95f9120517e0,-572.3147438,-1787.09509,1214.780346
4b171653-23c9-4f55-924a-46e51bf11ee4,-215148.6709,-272560.6057,57411.93482
3f69d1bf-2f5b-4a23-ae0a-37584c0efcb5,-790.4564538,-1666.687721,876.2312673
19bdb0e0-fb03-4ee4-a68c-f96085eb54e1,-256.6088055,-743.7842802,487.1754747
a9ed81c3-becb-4678-bf97-fc818437e705,-6760.772755,-9691.852295,2931.079541
93b8ef16-1a00-4d2b-84c9-6f5ecac24d1b,-688.49479,-1316.630754,628.135964
d4cc0802-2242-4c9b-aead-5669e55c6376,-177.3339558,-491.2392282,313.9052724
14140acd-2e5b-444b-8f78-8a250a5e95a2,12090.51501,2844.124991,9246.390023
8b42f28f-2bce-49ce-91cc-f984569aba91,-279385.939,-360309.0964,80923.15734
08ea2f1f-1243-46cb-bd4a-4e42a4b58145,20117.37127,7122.249874,12995.1214
4e21e99b-cd3f-4d39-8e53-80c8e0246385,3064.166759,252.447564,2811.719195
8bacc438-5861-4835-ab6b-b9a8a33e222e,-517.2357751,-2788.362056,2271.126281
bfbf55b0-788b-4360-ad05-513ee728e199,6421.755549,1674.169581,4747.585968
16453,18611.3202,-846.8378834,19458.15808
b14d2023-4953-4c39-ac02-e52c4b1abeb7,7744.788343,-179.0767145,7923.865057
9a4a60fa-075b-451a-81f4-7fd886f91965,-2406.174909,-2595.366201,189.1912917
09010ad7-6091-428f-b534-0ef0f47ad120,1154.585224,-4241.625442,5396.210667
608a67d0-8359-403e-8883-c185053923ba,946.031823,486.8225225,459.2093005
039e3173-3844-46a6-98ff-90c3203d49a0,-2933.117467,-2953.092089,19.97462218
50472786-7419-4b44-adbb-5ae6fc683f51,-2965.871959,-5525.600996,2559.729037
27c64d1c-7e03-4026-b215-10a5add4f3be,3085.584062,-373.7623615,3459.346423
70907c46-c3be-4ceb-a5e9-4deb8b5eb755,731.0362778,193.05846,537.9778178
5907b372-3a5d-405c-aa94-39c29e98a818,2167.958383,445.1468714,1722.811511
72dcc65b-268f-4b10-8d29-3f1bc4112384,-5018.168405,-12320.43598,7302.267572
16447,18308.36713,1787.805164,16520.56196
12bc2cb3-3e59-4472-b053-4dd33acd2ae0,-7936.164075,-21237.60466,13301.44059
093c2487-a68d-4d94-8f38-eb7b05a801ea,-649751.9313,-845522.1361,195770.2048
16423,-574.8803526,-759.4970601,184.6167075
38dd4dfd-5d6e-42ba-9c1f-62727986dad7,-580.0179165,-1602.246085,1022.228168
e7723aa5-1224-45d6-aa68-4de3a81c0604,-8016.507632,-19433.55141,11417.04378
29f5c5a3-dbad-449f-b015-8a6f9b275091,-15441.83616,-21622.49566,6180.659493
e3224f97-0eb1-4f42-963e-87bb423bdab7,9387.758929,187.0544914,9200.704438
16403,9460.834395,1860.26069,7600.573705
c9df399e-c2c4-4ee2-850e-e8cb30902131,-11817.15877,-31045.15021,19227.99144
16430,-24125.2989,-57161.37672,33036.07782
d9bc0fc9-8b67-47df-bf5c-041adbfa73c7,-33844.14888,-39585.41898,5741.270098
7139ca78-e5f7-4085-b42b-cbb0689ca3f4,2155.697053,-95.77383125,2251.470885
ef467def-c278-49f1-a075-61e761552fa2,-5189.441775,-9298.743384,4109.301609
7547da59-a90f-4ec0-a18f-ed5cf2566db9,-354380.1857,-405942.9964,51562.81069
2c0f6759-5828-4f02-9753-eeb2267f5bde,2008.038024,-277.1239697,2285.161994
1186c2fd-7a00-4f21-956f-8c5a896d9111,-7779.52079,-13259.26327,5479.742475
ee6dc233-1f0c-4d94-bbfa-a927fd50bd7d,13691.09718,59.27296641,13631.82422
42bbec89-106f-450f-828b-c19b95cead84,-3123.728198,-10682.40644,7558.678239
5e722a02-4402-40ec-ab37-dc869ca84938,176.6901164,-901.2522628,1077.942379
fa86b4a3-44ab-4bcb-88fe-46e4a451e100,-6649.178733,-10714.58074,4065.40201
16428,85750.39057,25567.03933,60183.35124
239f0be0-bce4-40e1-9a0f-ead10ee1bc82,139.1787328,-841.6933514,980.8720841
c95dc9a3-5d04-45f4-b915-09f1c3d0ba1c,-7158.436151,-21805.85276,14647.41661
c50e3f81-848c-47a3-a6b4-cc35dd973dfe,3694.73675,129.6536714,3565.083078
38e35232-6848-41ed-9a10-8715528d534a,-1065.117204,-1474.90062,409.7834166
0bd83140-a80d-4a56-954f-ca87c8403f9d,-8588.293699,-25145.28225,16556.98855
e4c14997-7738-4507-918d-977f64935ad4,-2229.140112,-2816.277462,587.1373497
04592e1b-d2c3-45bb-97bc-cc52161579c8,16.38178679,-500.1399255,516.5217123
7773e91e-eb18-48b5-89cc-1da8dac00d70,2523.69236,588.1722851,1935.520075
1fd4d3bf-8ab4-40dc-a8e0-ef25373306bb,11040.92741,1118.39965,9922.527764
02d044ad-9384-4099-b623-004965e0de44,7421.861154,-1996.897206,9418.75836
78db5423-a74c-44ba-b1db-26f8b3e24014,-7998.912049,-17763.08825,9764.176197
e873aead-0589-4fd0-bc92-b81ef46f9b39,-232482.3695,-297832.3724,65350.00284
0040d55b-4582-41fa-90c8-b4706c9b7152,5415.586678,400.445314,5015.141364
7eab31ae-9e1e-476e-a170-0096a0c0789e,-7052.760851,-15881.89348,8829.132625
863e46c4-6cdc-44dc-a950-f6d42d70ee85,10715.29263,-578.601649,11293.89428
19f0b674-b9ae-431f-a87a-538fa51f8c8e,18257.06499,5773.831712,12483.23328
d3f048e7-3d2b-445f-a9c9-1b82e873f13d,9516.387223,-64514.65281,74031.04003
3d9865bf-09e9-4412-89d0-1b3b783eb974,-4345.485385,-6687.414431,2341.929046
eb914441-4054-464e-bd33-e27a94a95c4f,-5281.249396,-11541.01772,6259.768323
c3beeaa8-87ce-455d-9482-e01679b9d1eb,-11322.418,-25408.88793,14086.46993
16275,78822.27025,-202881.8502,281704.1204
8c915c1f-86cf-4712-ad8d-c1c6fd6db49d,4470.029566,1938.073114,2531.956452
dd5a2ca5-9432-407d-9355-9109361b0212,704.8169535,58.54163451,646.275319
9017ca88-e286-46ab-9b79-1c7102f3c43f,-1769.933275,-3881.08405,2111.150774
4190cd47-6c10-434a-99b3-51ed9499ff1c,10941.77377,438.4807629,10503.29301
059918e4-9021-4dc0-b1a8-d29bbae321f7,2989.00124,-550.0974207,3539.09866
1dd292bb-7f33-4a02-9fb2-5fdaf23fa6d9,16246.36855,-761.6384978,17008.00705
ed830c0a-497c-4472-bfc2-601244c07771,-116.3142179,-185.0863157,68.77209779
5f7f5bd9-d396-47e0-a12e-cbf46ad9185d,9581.28318,1171.823957,8409.459223
16c1c689-a0f3-4629-8338-e615c30914bf,-11553.10911,-29279.63794,17726.52882
11e7438c-141d-4d2c-af07-4e967eea8854,-371588.1214,-467055.732,95467.61063
99f48ac1-f7b7-4605-b5b7-3401cadb1387,-174934.7384,-191228.195,16293.45667
79d9fdf9-fce1-4f64-87cc-0f04d7d872f0,4059.313592,447.7552806,3611.558312
ef6acb75-7071-4b56-846d-408bcbb92743,-3134.067407,-9690.510312,6556.442905
9bbe944f-8fb6-4be7-bbe6-093fd240556c,7032.22751,3206.479019,3825.748491
5a5161ce-4e81-429d-8c60-468e1ced8df3,567.9701287,54.77279887,513.1973298
616860cb-ac9d-434d-8574-925db1ac1ea1,1622.600204,-1814.924771,3437.524975
b0926892-ec8b-4ffd-b86e-d909fff85313,-207.9451712,-1263.005087,1055.059915
330a6c85-d0a4-4d46-8b82-3cb27561986c,6194.730787,-184.7017155,6379.432503
21d2ea3f-0445-4481-b26c-448e7cf0d11d,-8225.103262,-11595.61367,3370.510407
532aae42-83bf-43fb-addb-a07c4af4e56c,-3462.882253,-7014.513118,3551.630864
37ae9858-3cde-4e00-b470-5d249c39b12b,6903.654161,824.5821442,6079.072017
03876788-f6c3-4b94-ada0-f4a4b0e6c444,-308382.3279,-315363.1613,6980.833331
39d675da-f21d-424f-8340-6611eb3ab437,-2787.229239,-3557.933792,770.7045533
f5b8a677-f3ca-4d65-a1c1-10e0b2050217,-398.6540909,-3426.283022,3027.628931
befdf3e4-5b2c-49d3-8f53-550e2f234d9c,-24495.06465,-27207.60814,2712.543489
2081376f-518f-42a2-8979-b2423d062652,11942.0617,3001.190923,8940.870772
1582d967-579c-4406-ab13-7a687fd083fd,6592.764213,2249.58597,4343.178243
a31e8c7f-c7e8-4ead-87ad-7171318a975f,2037.185668,-163.0898882,2200.275556
1cfc34b7-f406-440e-b702-69dbdec37fa7,-51409.00924,-75881.68032,24472.67108
e9ddc8cd-11a5-4b5f-9f16-9f0e49bf0d16,-6551.284208,-6702.613721,151.3295127
16444,-10701.11306,-25491.02197,14789.9089
ec13c062-938e-4a72-8715-e7ea1e426f28,-73.95188754,-598.9110355,524.9591479
ec2bd31f-1caa-4a4c-aff7-3abe166835e9,-2215.653078,-3001.813748,786.1606698
5e1b8362-3878-4fdb-a9d3-e273ad35e7f0,-268938.4185,-283814.0953,14875.67672
799b83e5-247c-421c-84f7-74a11cf35fc7,-186431.7358,-203854.3019,17422.56612
108b52c2-fee3-44cb-90ff-f505ef1bf644,1572.583548,163.7430164,1408.840531
63798331-704a-4630-86f9-da64cc42ad40,-1209.914688,-2437.819212,1227.904524
fff7f00c-c869-4310-b705-4503538f5ecf,1735.359053,-4418.601421,6153.960473
f5b42988-2e6c-4ace-bef6-7ee8891ebd09,-955.5601796,-1259.289652,303.7294719
820bc83e-0c9b-4f3a-ae15-7423927453fd,3231.240088,-466.0579847,3697.298073
d31b3080-d61d-4199-804d-6b8e16dc18f4,-11805.80969,-19511.2329,7705.423212
f0ff162d-52e0-4dd9-b973-89bddf73c201,3943.572798,928.5612577,3015.01154
5c9a8148-80f7-4f50-a743-e5aa862df2f6,-73941.16723,-84451.80237,10510.63514
24b71a39-49ad-4691-a974-ef469d6be183,2562.863638,-535.6667848,3098.530423
16412,2075.58966,1323.264494,752.325166
c0d5e0e1-0c04-4d7e-a9ef-570415449c0c,12064.28598,1021.834962,11042.45102
3a98e91c-b44d-4427-ba16-8b762379db5c,-11847.9643,-28572.5237,16724.5594
71108cf5-fd51-4c8b-9df9-e8916b8b3243,-4043.11176,-10402.83482,6359.723056
61c3faa3-156a-411d-a94b-20fd597c877a,-341075.6966,-422776.4443,81700.74766
097d1afb-7f99-40ee-ba33-8fccda0a4d47,686.1227662,-1859.445097,2545.567864
cb484940-596f-4183-8eee-25b1999c3aba,4908.690029,-1484.720409,6393.410438
f390aee1-710d-47b5-8c0c-379e63d2a6ec,-2640.154962,-7555.727419,4915.572457
bd079313-5218-4c95-95b9-2324ba9c8e1d,-1850.033853,-5506.192262,3656.158409
4fa320bd-6477-4ed1-9d53-d594d883ee47,12813.96356,5011.717134,7802.246425
16267,-997061.0195,-1122918.429,125857.41
4900f284-3f95-4464-b2e0-0b9a156aa054,-2187.721555,-2389.284541,201.5629867
65a828a4-07fa-4735-bdca-bdad0c2078dc,-7249.404407,-13765.43156,6516.027156
4c72dfd3-844b-460e-ae12-d1cff145fc69,-246390.3408,-274697.4906,28307.14983
9b1abd09-fb10-4eca-96ea-bb249009511a,-5192.86783,-7244.838598,2051.970769
20bc42e4-0e97-4068-a2e8-bb0e6743f63e,-5532.175672,-6295.292204,763.1165327
07102f17-392f-4e99-af61-ffdb6c3bbc77,-3361.59926,-6613.416512,3251.817253
63de17b3-8e28-48ff-8489-2fb0059decfc,-558.7598647,-2522.656384,1963.896519
16437,17108.01135,5003.100744,12104.91061
853fe11e-99a8-4e92-ab71-cf5659c208d4,8970.211736,2776.090706,6194.12103
d9dbf7e0-d281-401d-8d39-783636f74fe8,-1436.620648,-6049.218985,4612.598336
16436,6239.338973,2114.0447,4125.294273
9d6ce43a-58df-40d0-bc2e-72449463249d,10528.52497,2198.119957,8330.405017
bfa9cc4b-8a4c-4352-9045-201faf9608cf,-1080.61783,-2002.809366,922.1915359
73d1fa2c-e08c-4e39-9ec7-b3dfdf7d16e2,-349465.8961,-426384.6304,76918.73425
16456,-9326.171571,-40779.15628,31452.9847
7e8334c1-0da0-4993-a413-ea18202daae9,-1719.733732,-1972.378903,252.6451701
1a3b2e0b-2040-43db-bf03-b62e6f02a9c4,-4030.565016,-6007.284246,1976.71923
bb93fbc7-59e6-4708-bc9a-42225ba4573b,-100886.6596,-135708.1083,34821.44874
dba26c7b-7cf9-4bd9-bbeb-672bc8771e33,3337.058875,-524.2388622,3861.297737
54487763-c23c-47da-a892-f1ea56779314,7057.599115,632.8613945,6424.73772
704d3aff-265e-4d20-9e07-3817646ecc6e,-1729.19233,-6858.651121,5129.458791
c8496fd4-f735-4c19-b0f5-c8cb809cef90,11504.26257,2834.165995,8670.096575
2c8d9d9e-f66e-45c7-b41e-d4d425847ff6,-2.925155931,-474.2751206,471.3499647
721240cf-0513-4f8c-a299-10e0c6d96238,-105743.4769,-113802.3434,8058.866455
c4886893-3a39-417d-acc8-80810fca1e7e,-444.4813364,-1640.343841,1195.862505
1c88f2ac-56b5-4e31-b040-9ade8b96115f,-1444.184887,-2278.308594,834.1237074
935507b6-f5da-47f7-8b15-cae3323e8ee9,-665.2682501,-2050.201334,1384.933084
e9272f7c-52de-43b7-89cc-7a88e27ad0e5,8301.341289,-1620.172566,9921.513855
0c8432e7-b8d2-4188-88de-67f2936226aa,5849.681562,-804.0338749,6653.715437
38c85335-f73b-4291-8b80-938ca0f0c791,-8479.64468,-13420.80596,4941.161277
0003a5ae-0c77-4372-b44d-882ef9874a28,-673.8570867,-2263.021177,1589.164091
bac50a33-c712-4c39-8c9e-9ead5d04f64f,-4418.693007,-10137.38799,5718.694984
8a5f3928-6c0b-4021-bce4-5e4c035c9f00,-2717.79193,-7138.390881,4420.598952
39707c72-9fc1-46f7-9f9e-a27ae57bab63,-2262.480523,-8871.894805,6609.414282
16426,891.0133901,-233.608108,1124.621498
1c74e692-be81-499e-b7e0-3b2398ac2697,279.4955643,-124.528647,404.0242113
6b948c7f-c7f1-4c4a-b17d-df514cdd979b,12255.7457,2561.742322,9694.003379
1558b380-9de3-4582-b93f-68908a474f44,-5449.46618,-7114.258649,1664.792469
347f78c2-a5d2-48e1-b301-60e6b4a0f5a2,-309646.4102,-316262.7389,6616.328705
77303cad-e32f-4568-9482-552625c1bf54,-65758.20705,-152195.2207,86437.01366
f17a9644-59c6-4ac3-a619-d4297647cd0f,-440.6613118,-1428.53441,987.8730982
2f2b3f80-038d-42a8-89c1-d8dac760b25a,5591.528308,466.4953188,5125.032989
4a262aff-7eec-41b9-99e0-213141e938a7,-260301.8909,-279537.0004,19235.10954
ebd907e9-93a0-47f7-9c4d-ab7c7d8f6ad1,-5069.727878,-9365.665599,4295.937721
88523c30-8fdc-493b-a0df-a733b50c9d2f,-6277.102912,-12676.9496,6399.846692
33862ef4-cb08-4453-a641-29ad7c4e5a32,3017.192402,612.4389193,2404.753483
7fc8a141-21dd-4c9b-acce-a2478c8d8f1a,-5597.099252,-9445.950215,3848.850962
3869acaa-0ce2-4411-b467-9f01f0cb1c48,2205.433235,96.97211245,2108.461123
654fec9a-7006-4808-8074-4cf2d259f962,4624.684015,2183.437304,2441.246711
9a9c68ac-ee8e-4dca-8d06-7971b54f5212,-7046.612239,-15334.20808,8287.595845
365a4ea2-5bba-4ad9-a32e-348ea2aa7092,-1254.916881,-2158.015387,903.098506
6cceb62f-8756-4950-b2b5-d1b7d5c37732,19870.53699,-13164.59519,33035.13217
b1a8e3ff-b811-4629-b37f-c303b4094e2c,-6041.881776,-12990.62406,6948.742279
291e9077-7c91-430a-936d-2faf0876f8fe,-740009.4137,-773249.2447,33239.83106
e991898e-301f-4ccd-8794-851e1cc158df,-963529.1868,-1023676.914,60147.72712
cbcffb78-314f-44a0-908d-9fb3532bb844,-685.2113586,-1247.020336,561.8089771
7395998c-f7a0-47c4-b1fe-e1e2e268f793,-6040.287437,-16652.79953,10612.51209
a7b05a99-9fad-4ebd-b652-1b7608e27767,4007.711429,1381.227293,2626.484136
de5ae23a-7bc6-46b7-9dd1-bbd280221ce8,3427.168218,823.4464032,2603.721815
9c2d46b2-a6b5-4fe8-9226-30ad8d04cb6f,-218301.1536,-247114.8108,28813.6572
6faa6320-b5af-48b4-a991-095d5530151a,-2762.903417,-2916.918209,154.0147916
