AccountID,Net Change over Forecast Period,Starting Amount,Ending Amount
291e9077-7c91-430a-936d-2faf0876f8fe,-99789797.59707493,-20580863.637958977,-120370661.2350339
6cbfd1a9-41a4-4298-a4f9-0ec22c8c7f69,120633.20956591817,-35763.112889938195,84870.09667597998
9c7aa0c6-1053-4f16-88ea-a8daa215a05c,-998717.6252525874,-220875.2178593754,-1219592.8431119628
600ea91e-d360-4347-a0f3-7f40ba9a8275,-12876.650474706183,-14826.764491088908,-27703.41496579509
03fdd890-2ce8-4873-8d02-0d753838576e,34594.20406460731,-24633.468154997845,9960.735909609462
dd5a2ca5-9432-407d-9355-9109361b0212,0.0,-1664.79,-1664.79
cc6a5e18-9106-4825-882b-8de0f55198ec,-10446570.278797256,-180071.1251495396,-10626641.403946795
16462,-52447563.22486369,-6271356.296093162,-58718919.52095686
16279,-22307384.663677413,-5507857.735313784,-27815242.398991197
3f69d1bf-2f5b-4a23-ae0a-37584c0efcb5,-394916.59286933154,-73671.507184501,-468588.1000538325
1ac8dcf9-fbc0-4aac-b426-250e535b9dc0,-1287766.8655390753,-141403.90572692748,-1429170.771266003
7fc8a141-21dd-4c9b-acce-a2478c8d8f1a,-76965.96011026097,-77014.29848524097,-153980.25859550195
6453a46f-be8b-4a6e-8dc1-c42a7510d7a9,-103681597.15543509,-313819.1349472442,-103995416.29038233
befdf3e4-5b2c-49d3-8f53-550e2f234d9c,-687363.0962245102,-412229.84426775423,-1099592.9404922645
d66dfd63-29ec-43d2-a5d9-f47b65e8f145,-660340.0467836179,-114324.89078806786,-774664.9375716858
e0724ce4-6a77-441c-be30-384fe28b6ca5,12.087245039314316,-14.182962776589807,-2.0957177372754905
47255e34-7fcb-457c-aee6-fe0b48bae3c7,21912.07636182345,-38136.825125127965,-16224.748763304518
a0f59288-e4d6-4286-b881-1b2dffb4a919,-492572.3843166923,-56896.1908786372,-549468.5751953295
8cfe5551-fb84-41c1-bb40-6d73a2a81fdf,-11994137.528815892,-3385551.7742209896,-15379689.303036882
4900f284-3f95-4464-b2e0-0b9a156aa054,-28814.162715165643,-32145.542729769848,-60959.70544493549
029729c8-69e6-4f50-a94d-c9bb2a514d92,-32636.53637322891,-37147.89779734792,-69784.43417057683
16450,-40009.499391818346,-46358.85661784811,-86368.35600966646
82f4d558-9f6c-43c0-9e26-9ec9d82c9783,-31542896.054916777,-7557934.772970341,-39100830.82788712
5494ad63-4540-438a-b43f-12b7dec828c9,-1686560.6730097674,65339.2404717138,-1621221.4325380537
9c2d46b2-a6b5-4fe8-9226-30ad8d04cb6f,-30716952.677459992,-7075199.979597755,-37792152.65705775
6522305c-7ca9-47b3-8917-7a90bbf13a44,-399.24575728493096,910.7129007594028,511.46714347447187
a6ba1dd3-1410-483d-96e8-128fa6879d33,11390.682820078588,-15249.0374393007,-3858.354619222113
8b42f28f-2bce-49ce-91cc-f984569aba91,-43389472.52720965,-7415461.532406099,-50804934.059615746
26da7bb4-3955-45ef-9468-180faf23fb14,5903.791058183833,-15051.144626581969,-9147.353568398135
7cc0df2c-c08d-4473-8266-5eee25145b65,-285280.7526522062,50527.26708445303,-234753.4855677532
79a2068d-7665-410a-9cb7-f3b78ab7e1d4,-12000968.382804187,-2097287.893162059,-14098256.275966246
654fec9a-7006-4808-8074-4cf2d259f962,2646.169054637765,18088.235997513104,20734.40505215087
6faa6320-b5af-48b4-a991-095d5530151a,4200.586305576526,-32152.66125130461,-27952.074945728084
1fd4d3bf-8ab4-40dc-a8e0-ef25373306bb,-40058.24363219121,-28092.786541011243,-68151.03017320245
f1a3f024-a7b5-4577-9792-70976b2bd628,-115437.41793978418,-95262.2502505462,-210699.66819033038
16410,148.24230614449834,1200.4948061560663,1348.7371123005646
9247e531-5b00-4833-afe6-49af94548494,905.8808586600303,-3470.084184088368,-2564.203325428338
f45067ff-7b90-4308-9f0f-d59f468607a4,-17210319.99252099,-215906.237892133,-17426226.230413124
420a5bf2-2163-43c2-b34b-d84069841843,-1133903.8156397543,-108827.80269820358,-1242731.618337958
7e8334c1-0da0-4993-a413-ea18202daae9,-360304.79273567814,-57646.955445284446,-417951.7481809626
40b3ac9a-f6d6-41e9-abd8-200149deeacf,-1234195.4701064646,-178240.77815533316,-1412436.2482617977
2aaef9e1-6293-4f85-97cf-dc9ef8d6ae19,-3141325.1012809966,-199584.83377395602,-3340909.9350549527
3e6d7420-1c88-4df5-81fc-fb4e84d8aa8d,-211206.35015120608,-83813.05393045698,-295019.40408166306
88523c30-8fdc-493b-a0df-a733b50c9d2f,-1554790.5727475435,-118706.38386928054,-1673496.956616824
34cc2cc4-7952-45e1-a086-41a453d66387,-19796.14206465133,-41451.38431707006,-61247.526381721385
d8dd63ae-7bfe-40f1-aa5a-356a27f78af9,4324.570678169401,5361.201861986343,9685.772540155744
37cdf49c-82c3-47f6-993d-f1b62e9b59bc,-623763.5541798468,-94971.00278688196,-718734.5569667288
8cbf5242-29c7-4784-be98-1ad2c57f531d,-34498279.64970724,-5279525.75463315,-39777805.404340394
02d044ad-9384-4099-b623-004965e0de44,-408312.858219599,-154572.83478244988,-562885.6930020489
75c5de1e-ea8e-4292-bbdd-208619c52bf9,286341.62392954336,-569.4514993425437,285772.1724302008
d6033be6-200d-4ca1-a084-3275c155db66,1213.0118048633053,-1849.139150384243,-636.1273455209379
704d3aff-265e-4d20-9e07-3817646ecc6e,-241.1786106442014,252.89552083048716,11.716910186285762
783d3c3c-1ced-4e77-95db-23c3a28ecba9,-1743.1419093290826,1681.8486214440713,-61.29328788501122
369abe6c-da7d-47c1-a2c1-1521bc9a3b16,-179416.1775529986,-121323.37498012045,-300739.55253311904
