AccountID,Net Change over Forecast Period,Starting Amount,Ending Amount
2846c3f5-08a2-4683-b9e5-cf800a931ddc,-23137602.99994251,-4761575.430285933,-27899178.430228446
cd142ef7-3325-4ec6-8b8b-16254954db1f,222974.0727774667,-6707.678168068492,216266.3946093982
5f937544-a583-4199-bed2-94a2ffbe23d4,7229.123588502451,-25253.55924141113,-18024.43565290868
2971bf3e-670d-4e90-b127-921b7dae0f24,-104973.38408564372,-122896.17284098684,-227869.55692663055
90188921-2e05-402b-a7f4-f8842b3b88e8,-6091369.13585247,-1373612.4312750408,-7464981.567127511
a48a1884-0253-4790-910d-0b9c18089494,4749.466685322492,-57702.9428962895,-52953.47621096701
3b7c60c3-3811-47fa-b4bc-23e42a622bea,-13793.811645872542,-55030.67715117871,-68824.48879705125
23c0903b-aa51-4d20-bdce-8d744457b97c,-138455.10953686462,-48400.195511696,-186855.3050485606
f120ca87-1a3e-4f3d-8678-b1cf106d090a,1214.6951690739488,-1490.2136780127398,-275.5185089387911
ee46e566-e3e5-4088-898e-b84aae6c1591,-144525.8959343941,-75395.09162334324,-219920.98755773733
7b69c0a0-7fcb-4037-9986-ef102e354ee5,-7270.432543511568,-33140.955561424555,-40411.38810493612
7b7b1cd5-30b4-4302-82cf-b43e2899ed97,-5483.155578972564,-24229.973476963423,-29713.129055935988
4ee24ad0-965d-4bb6-9df6-4861c5464718,-34518820.10043104,-7983850.875334706,-42502670.97576574
eb914441-4054-464e-bd33-e27a94a95c4f,-87102.7748355002,-42664.48968046656,-129767.26451596676
3869acaa-0ce2-4411-b467-9f01f0cb1c48,-3093.1245803392485,-8972.569482541345,-12065.694062880593
8b42f28f-2bce-49ce-91cc-f984569aba91,-43389472.52720965,-7415461.532406099,-50804934.059615746
16442,-131761.88765668677,-34613.95765139522,-166375.84530808197
d994a8e3-00d1-4560-a25e-ba93583f96d4,-15602121.28987855,-2316973.5189022715,-17919094.808780823
c980b50e-d4d7-468b-9ca8-d3d4494bc041,-2073145.8713827757,-161574.57811759564,-2234720.4495003712
58e29f83-897c-462e-ae79-b9a67895dbce,-1333.8906238446373,2480.592052679133,1146.7014288344956
1bd930ef-8d95-490b-8244-593fffa76943,919583.6413567972,-307636.03815228166,611947.6032045155
1a5f93c5-21ff-4929-bde0-e7d6587a48a9,-169666.69725790742,-30149.481125882674,-199816.1783837901
16458,1252.7167076272626,5271.714092104322,6524.430799731585
4190cd47-6c10-434a-99b3-51ed9499ff1c,15093.11935236266,-42425.649623473706,-27332.530271111045
16435,-308206.6001014168,-148078.59258963037,-456285.1926910472
73d19f30-bef7-44f1-a9b5-23d7713c9780,-1663488.0264429846,-352290.31381748745,-2015778.3402604721
9ace1f5c-b778-48a8-ae82-1fcb83120e85,-9377.2377130551,-16173.872750514343,-25551.110463569443
16448,-158475.45985425415,-152093.86853149964,-310569.3283857538
a82e315c-10ee-4603-b51c-242888036423,423.3774212195126,-1048.1275866729309,-624.7501654534183
f2b1f7f6-88aa-4d6f-8a79-38abf55f6915,-230130.65658677637,-87514.78666765592,-317645.4432544323
cbbb07b6-0e1a-4608-9740-bf2adbd95d0f,1206274.2247908337,53651.83644541973,1259926.0612362535
03dd64c4-6b6a-4365-b1a6-5ade63d67dcd,-1055.198479140225,485.43876387703347,-569.7597152631914
16441,-126429.16600717008,-24937.62398803534,-151366.7899952054
88069fa5-1e97-4cdd-922a-fc7445ca713c,-46844.133193971764,37828.64054473041,-9015.49264924135
8ce8dbb8-1682-491c-bd22-455fffefabed,5372873.838104276,157961.4166126496,5530835.254716925
8339fc7d-61c3-43bb-8ad5-8660b0bcb712,-133106888.24398614,-23355671.32238646,-156462559.5663726
16275,-29009226.847727656,-8579031.705480471,-37588258.55320813
16450,-40009.499391818346,-46358.85661784811,-86368.35600966646
b2ac4b52-13e3-4382-9469-f8865a5dc3eb,4653.213564704177,-10843.956198314514,-6190.742633610337
a10bd82a-3ce8-418f-a735-66dba388fb41,-1735.0686778325253,-14348.968355141995,-16084.03703297452
79ccc4d9-3e1f-4c01-8774-2cef44bab78a,-46341.81595777183,-67733.04883384003,-114074.86479161186
196d06cf-e811-4aab-9649-ab6642551b9b,858800.4467318949,-274412.55738079746,584387.8893510974
ed48f8cd-4735-4d85-b60b-85072796882c,6963.092583446879,3615.0453693801746,10578.137952827054
24b71a39-49ad-4691-a974-ef469d6be183,-21077.226402536027,-26647.027787897045,-47724.25419043307
d1503667-7dc3-43c6-a861-3ad0897876b7,-28953.935489241907,-52032.4740370067,-80986.40952624861
